ESTU_TIPODOCUMENTO;ESTU_NACIONALIDAD;ESTU_GENERO;ESTU_FECHANACIMIENTO;ESTU_EXTERIOR;PERIODO;ESTU_CONSECUTIVO;ESTU_ESTUDIANTE;ESTU_PAIS_RESIDE;ESTU_DEPTO_RESIDE;ESTU_COD_RESIDE_DEPTO;ESTU_MCPIO_RESIDE;ESTU_COD_RESIDE_MCPIO;ESTU_VALORMATRICULAUNIVERSIDAD;ESTU_PAGOMATRICULABECA;ESTU_PAGOMATRICULACREDITO;ESTU_PAGOMATRICULAPADRES;ESTU_PAGOMATRICULAPROPIO;ESTU_COMOCAPACITOEXAMENSB11;ESTU_CURSODOCENTESIES;ESTU_CURSOIESAPOYOEXTERNO;ESTU_CURSOIESEXTERNA;ESTU_SIMULACROTIPOICFES;ESTU_ACTIVIDADREFUERZOAREAS;ESTU_ACTIVIDADREFUERZOGENERIC;ESTU_TIPODOCUMENTOSB11;ESTU_SEMESTRECURSA;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_ESTRATOVIVIENDA;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_TIENELAVADORA;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENESERVICIOTV;FAMI_TIENEAUTOMOVIL;FAMI_TIENEMOTOCICLETA;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_CUANTOSCOMPARTEBAÑO;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;ESTU_HORASSEMANATRABAJA;INST_COD_INSTITUCION;INST_NOMBRE_INSTITUCION;ESTU_PRGM_ACADEMICO;ESTU_SNIES_PRGMACADEMICO;ESTU_PRGM_CODMUNICIPIO;ESTU_PRGM_MUNICIPIO;ESTU_PRGM_DEPARTAMENTO;ESTU_NIVEL_PRGM_ACADEMICO;ESTU_METODO_PRGM;ESTU_NUCLEO_PREGRADO;ESTU_INST_CODMUNICIPIO;ESTU_INST_MUNICIPIO;ESTU_INST_DEPARTAMENTO;INST_CARACTER_ACADEMICO;INST_ORIGEN;ESTU_PRIVADO_LIBERTAD;ESTU_COD_MCPIO_PRESENTACION;ESTU_MCPIO_PRESENTACION;ESTU_DEPTO_PRESENTACION;ESTU_COD_DEPTO_PRESENTACION;MOD_RAZONA_CUANTITAT_PUNT;MOD_RAZONA_CUANTITAT_DESEM;MOD_RAZONA_CUANTITATIVO_PNAL;MOD_RAZONA_CUANTITATIVO_PNBC;MOD_LECTURA_CRITICA_PUNT;MOD_LECTURA_CRITICA_DESEM;MOD_LECTURA_CRITICA_PNAL;MOD_LECTURA_CRITICA_PNBC;MOD_COMPETEN_CIUDADA_PUNT;MOD_COMPETEN_CIUDADA_DESEM;MOD_COMPETEN_CIUDADA_PNAL;MOD_COMPETEN_CIUDADA_PNBC;MOD_INGLES_PUNT;MOD_INGLES_DESEM;MOD_INGLES_PNAL;MOD_INGLES_PNBC;MOD_COMUNI_ESCRITA_PUNT;MOD_COMUNI_ESCRITA_DESEM;MOD_COMUNI_ESCRITA_PNAL;MOD_COMUNI_ESCRITA_PNBC;PUNT_GLOBAL;PERCENTIL_NBC;PERCENTIL_GLOBAL;ESTU_INSE_INDIVIDUAL;ESTU_NSE_INDIVIDUAL;ESTU_NSE_IES;ESTU_ESTADOINVESTIGACION;CLUSTERS 2;CLUSTERS 3;CLUSTERS 4
CE;COREA DEL SUR;M;1/7/1994;NO;20195;EK201950090649;ESTUDIANTE;COREA DEL SUR;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;No realizó ninguna prueba de preparación;;;;;;;;10;Educación profesional completa;Educación profesional incompleta;Estrato 6;Si;Si;Si;Si;Si;Si;No;No;2;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;0;1813;UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.;MEDICINA;20044;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - CORPORACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;214;4;99;98;172;3;76;52;209;4;99;96;219;B2;99;95;157;3;66;54;194;91;98;71,96906797;4;4;PUBLICAR;Aceptables;2;3
CE;MÉXICO;F;11/8/1994;NO;20195;EK201950255167;ESTUDIANTE;MÉXICO;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;Repasó por cuenta propia;;;;;;;CE;12 o más;Educación profesional completa;Secundaria (Bachillerato) incompleta;Estrato 6;Si;Si;Si;Si;Si;Si;No;Si;NINGUNA;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja en el hogar, no trabaja o estudia;0;1711;UNIVERSIDAD DE LA SABANA-CHIA;MEDICINA;2518;25175;CHÍA;CUNDINAMARCA;UNIVERSITARIO;PRESENCIAL;MEDICINA;25175;CHÍA;CUNDINAMARCA;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;182;3;87;71;158;3;62;36;172;3;80;59;219;B2;99;95;173;3;82;71;181;75;92;74,06712949;4;4;PUBLICAR;Aceptables;2;3
CE;VENEZUELA;F;21/2/1994;NO;20195;EK201950238710;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;Tomó un curso de preparación;Entre 20 y 30 horas;Entre 20 y 30 horas;Entre 20 y 30 horas;Si;No;Si;;11;Educación profesional completa;Educación profesional completa;Estrato 3;Si;Si;Si;Si;Si;No;No;No;1;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Más de 30 horas;1701;PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.;MEDICINA;55178;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;178;3;84;66;189;3;90;74;205;4;98;95;223;B2;100;98;104;1;5;3;180;73;92;72,5277324;4;4;PUBLICAR;Aceptables;0;2
CE;VENEZUELA;F;28/6/1996;NO;20195;EK201950237227;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;Repasó por cuenta propia;;;;;;;PE;12 o más;;;;;;;;;;;;;;;;1701;PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.;MEDICINA;55178;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;189;3;91;80;192;3;92;77;184;3;89;76;218;B2;99;95;133;2;24;18;183;78;94;;;4;PUBLICAR;Aceptables;0;2
CE;VENEZUELA;F;10/9/1995;NO;20195;EK201950200944;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;No realizó ninguna prueba de preparación;;;;;;;;11;Postgrado;Postgrado;Estrato 4;Si;Si;Si;Si;Si;Si;No;Si;1;No aplica;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);0;2707;FUNDACION UNIVERSITARIA JUAN N. CORPAS-BOGOTÁ D.C.;MEDICINA;1807;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;INSTITUCIÓN UNIVERSITARIA;NO OFICIAL - FUNDACIÓN;N;15176;CHIQUINQUIRÁ;BOYACA;15;162;3;69;45;143;2;44;21;138;2;46;25;163;A2;68;37;144;2;52;41;150;29;58;85,90194161;4;4;PUBLICAR;Oportunidad de Mejora;1;0
CE;VENEZUELA;M;10/3/1996;NO;20195;EK201950234453;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;Si;Tomó un curso de preparación;Más de 30 horas;Más de 30 horas;Menos de 20 horas;Si;Si;Si;PE;12 o más;Postgrado;Educación profesional completa;Estrato 5;Si;Si;Si;Si;Si;Si;No;No;NINGUNA;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);0;1711;UNIVERSIDAD DE LA SABANA-CHIA;MEDICINA;2518;25175;CHÍA;CUNDINAMARCA;UNIVERSITARIO;PRESENCIAL;MEDICINA;25175;CHÍA;CUNDINAMARCA;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;153;2;59;33;201;4;96;86;181;3;87;72;205;B2;95;85;141;2;45;35;176;68;89;81,43000573;4;4;PUBLICAR;Aceptables;0;2
CE;VENEZUELA;F;23/6/1994;NO;20195;EK201950208391;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;Tomó un curso de preparación;Más de 30 horas;Más de 30 horas;Más de 30 horas;Si;Si;Si;CE;12 o más;Educación profesional completa;Técnica o tecnológica completa;Estrato 5;Si;Si;Si;Si;Si;Si;No;No;NINGUNA;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Más de 30 horas;1711;UNIVERSIDAD DE LA SABANA-CHIA;MEDICINA;2518;25175;CHÍA;CUNDINAMARCA;UNIVERSITARIO;PRESENCIAL;MEDICINA;25175;CHÍA;CUNDINAMARCA;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;158;3;64;39;125;2;24;9;143;2;51;29;199;B1;92;77;164;3;72;59;158;39;70;74,20196567;4;4;PUBLICAR;Oportunidad de Mejora;1;1
CE;VENEZUELA;F;13/2/1995;NO;20195;EK201950226158;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;Tomó un curso de preparación;Entre 20 y 30 horas;Menos de 20 horas;Menos de 20 horas;Si;Si;Si;CE;12 o más;Educación profesional completa;Educación profesional completa;Estrato 5;Si;Si;Si;Si;No;Si;No;No;NINGUNA;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);0;1711;UNIVERSIDAD DE LA SABANA-CHIA;MEDICINA;2518;25175;CHÍA;CUNDINAMARCA;UNIVERSITARIO;PRESENCIAL;MEDICINA;25175;CHÍA;CUNDINAMARCA;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;178;3;84;66;178;3;82;60;198;3;96;90;219;B2;99;95;177;3;85;75;190;87;97;75,4597948;4;4;PUBLICAR;Aceptables;2;3
CE;VENEZUELA;F;22/11/1993;NO;20195;EK201950217380;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;Tomó un curso de preparación;Entre 20 y 30 horas;Entre 20 y 30 horas;Entre 20 y 30 horas;Si;Si;Si;CC;12 o más;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 5;Si;Si;Si;Si;Si;Si;No;No;NINGUNA;No sabe;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Más de 30 horas;1711;UNIVERSIDAD DE LA SABANA-CHIA;MEDICINA;2518;25175;CHÍA;CUNDINAMARCA;UNIVERSITARIO;PRESENCIAL;MEDICINA;25175;CHÍA;CUNDINAMARCA;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;105;1;10;4;141;2;41;19;129;2;36;19;204;B2;95;83;142;2;48;37;144;22;48;68,08373959;4;4;PUBLICAR;Oportunidad de Mejora;0;2
CE;VENEZUELA;F;7/8/1995;NO;20195;EK201950225197;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;Si;No;Si;No;Repasó por cuenta propia;;;;;;;;12 o más;Postgrado;Educación profesional completa;Estrato 6;Si;Si;Si;Si;Si;Si;Si;Si;NINGUNA;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja en el hogar, no trabaja o estudia;0;1711;UNIVERSIDAD DE LA SABANA-CHIA;MEDICINA;2518;25175;CHÍA;CUNDINAMARCA;UNIVERSITARIO;PRESENCIAL;MEDICINA;25175;CHÍA;CUNDINAMARCA;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;165;3;73;49;177;3;81;58;167;3;75;53;201;B2;93;80;169;3;76;64;176;67;89;81,7605431;4;4;PUBLICAR;Aceptables;2;3
